"Minnesota Population Projections by Age and Gender, 2017-2065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota State Demographic Center, December 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reissue of August 2015 dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Sex,Age,2013**,2014**,2015**,2016**,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
27,Total,14,70459,71905,71619,70322,72324,74231,73952,73998,75256,74785,72472,72748,72654,73129,72783,73248,73760,74096,74275,74380,74393,74391,74384,74386,74395,74435,74523,74629,74748,74891,75047,75201,75370,75551,75728,75919,76105,76298,76474,76640,76762,76853,76901,76913,76915,76920,76930,76940,76966,77011,77061,77117,77180,77251,77333,77414,77495,77585
27,Total,15,70430,70549,72024,71819,71055,72565,74477,74197,74242,75504,75030,72708,72983,72887,73362,73012,73477,73988,74338,74532,74651,74676,74675,74667,74670,74699,74758,74866,74973,75093,75243,75407,75571,75750,75944,76135,76341,76543,76742,76924,77095,77223,77312,77365,77382,77389,77399,77414,77429,77460,77510,77564,77624,77693,77770,77857,77944,78030
27,Total,16,70788,70678,70769,72217,72632,71428,72944,74866,74582,74625,75892,75414,73081,73355,73255,73727,73372,73837,74363,74727,74934,75067,75093,75090,75083,75106,75152,75232,75341,75450,75576,75733,75906,76081,76272,76480,76687,76908,77116,77321,77507,77684,77810,77904,77961,77984,77995,78009,78028,78047,78082,78137,78196,78261,78335,78416,78509,78601
27,Total,17,71235,71310,71110,71299,73206,73024,71811,73333,75264,74978,75020,76291,75810,73462,73736,73633,74101,73741,74222,74761,75139,75360,75494,75520,75517,75529,75570,75636,75716,75827,75942,76076,76242,76426,76613,76818,77041,77264,77491,77705,77914,78105,78281,78412,78511,78573,78599,78614,78633,78656,78678,78719,78778,78841,78911,78991,79076,79175
27,Total,18,71326,70033,69781,69630,70738,72286,72109,70914,72421,74329,74050,74094,75352,74879,72563,72838,72740,73213,72877,73370,73920,74309,74531,74665,74693,74712,74746,74809,74877,74962,75081,75206,75351,75529,75726,75929,76152,76392,76623,76856,77077,77294,77488,77670,77810,77916,77986,78020,78044,78071,78102,78130,78179,78246,78316,78394,78481,78574
27,Total,19,74104,72814,71230,70938,72855,73134,74726,74534,73289,74839,76802,76506,76544,77832,77338,74938,75211,75094,75565,75214,75723,76294,76689,76912,77045,77088,77124,77172,77232,77299,77385,77509,77639,77792,77980,78189,78404,78640,78882,79115,79350,79575,79787,79982,80166,80305,80410,80479,80511,80533,80558,80587,80612,80660,80728,80799,80878,80966
27,Total,20,74589,73760,72290,71084,72034,71756,72035,73606,73420,72198,73728,75665,75377,75417,76690,76206,73845,74118,74022,74512,74187,74707,75276,75669,75893,76046,76110,76168,76221,76285,76361,76457,76592,76734,76901,77106,77334,77566,77809,78058,78299,78542,78767,78987,79190,79382,79529,79643,79720,79760,79790,79825,79863,79896,79952,80027,80106,80192
27,Total,21,75822,74545,73621,72442,71326,71552,71277,71556,73117,72934,71722,73242,75168,74883,74923,76190,75710,73365,73653,73573,74079,73771,74290,74859,75252,75495,75669,75753,75814,75870,75942,76027,76132,76280,76437,76617,76840,77083,77323,77572,77827,78075,78319,78551,78777,78986,79185,79339,79459,79543,79590,79626,79666,79712,79752,79815,79895,79980
27,Total,22,72431,76024,74430,74052,70857,71191,71417,71144,71422,72979,72797,71587,73106,75027,74742,74783,76047,75568,73242,73543,73478,73995,73690,74208,74776,75190,75453,75648,75733,75797,75860,75939,76035,76152,76311,76483,76680,76919,77169,77413,77669,77930,78178,78429,78666,78898,79113,79319,79477,79603,79693,79745,79787,79832,79884,79929,79998,80083
27,Total,23,70453,70706,74691,73461,72808,69316,69654,69887,69625,69902,71431,71256,70077,71569,73455,73180,73224,74468,74016,71757,72073,72032,72557,72269,72785,73369,73800,74083,74280,74369,74443,74518,74609,74718,74851,75028,75217,75433,75680,75938,76190,76453,76718,76973,77231,77478,77716,77940,78154,78322,78456,78556,78619,78670,78726,78787,78841,78919
