Atlanta,Austin,Baltimore,Boston,Calgary,Charlotte,Chicago,Cincinnati,Ciudad de México,Columbus,Dallas,Denver,Dublin,Edmonton,Fort Lauderdale,Hamburg,Honolulu,Houston,Indianapolis,Las Vegas,London,Los Angeles,Louisville,Miami,Miami Beach,Minneapolis,Montréal,München,Naples,Nashville,New Orleans,New York,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Raleigh,San Antonio,San Diego,San Francisco,San Pedro Garza García,Scottsdale,Seattle,Tampa,Toronto,Vancouver,Washington
-21.0,-8.0,-5.0,-10.0,-9.0,-8.0,-16.0,-16.0,-8.0,-9.0,-6.0,-9.0,-9,11.0,-15.0,1,-9.0,-8.0,-7.0,-31.0,-10,4.0,-13.0,-15.0,-8.0,-3.0,-21.0,-2.0,-5.0,-14.0,-59.0,-12.0,-18.0,4.0,-21.0,-11.0,-3.0,-9.0,-22.0,-2.0,-24.0,14.0,-6.0,-31.0,3.0,-9.0,-6.0,-8.0
-11.0,-11.0,23.0,-4.0,-4.0,-1.0,-10.0,-9.0,-4.0,-11.0,-8.0,-3.0,-2,6.0,-8.0,-5,-11.0,-8.0,3.0,-13.0,-10,7.0,-15.0,-6.0,-15.0,6.0,7.0,8.0,-7.0,2.0,-32.0,-12.0,-18.0,6.0,-8.0,-2.0,-1.0,-8.0,-10.0,-3.0,-24.0,9.0,1.0,-31.0,10.0,-2.0,-6.0,8.0
-9.0,-6.0,8.0,11.0,-2.0,-7.0,-11.0,-6.0,-9.0,-10.0,0.0,-10.0,-11,-14.0,-11.0,-8,-13.0,7.0,2.0,-9.0,-13,-5.0,-7.0,-2.0,-16.0,-13.0,0.0,5.0,-1.0,-3.0,5.0,-9.0,-2.0,8.0,-8.0,-10.0,3.0,-13.0,-6.0,-1.0,-22.0,-5.0,-4.0,-36.0,-1.0,-2.0,-2.0,-4.0
-2.0,0.0,8.0,7.0,2.0,4.0,-8.0,-21.0,-8.0,-9.0,3.0,-9.0,-10,5.0,-13.0,-3,-12.0,6.0,0.0,-8.0,-7,1.0,-7.0,-11.0,-8.0,-6.0,7.0,-6.0,0.0,0.0,6.0,-15.0,-1.0,-7.0,-7.0,-17.0,0.0,-9.0,-8.0,-1.0,-18.0,-1.0,-2.0,-34.0,-1.0,-15.0,-5.0,-5.0
1.0,-13.0,14.0,-1.0,-10.0,-5.0,4.0,-14.0,-1.0,-5.0,-1.0,-6.0,-4,-14.0,-3.0,4,-9.0,10.0,1.0,-7.0,-7,-2.0,-5.0,-2.0,-3.0,61.0,14.0,13.0,2.0,5.0,3.0,-10.0,1.0,1.0,-6.0,9.0,-3.0,-9.0,-15.0,-1.0,-18.0,19.0,-1.0,-35.0,0.0,-7.0,-15.0,1.0
13.0,-23.0,-4.0,10.0,-4.0,-10.0,13.0,-23.0,-9.0,3.0,-2.0,2.0,-7,4.0,-14.0,0,-18.0,7.0,-1.0,-8.0,-7,-15.0,3.0,10.0,-10.0,23.0,38.0,-9.0,-6.0,-4.0,-3.0,-4.0,-8.0,3.0,-8.0,1.0,5.0,-11.0,-23.0,-7.0,-26.0,-3.0,-10.0,-25.0,-2.0,5.0,-1.0,0.0
1.0,-41.0,-17.0,-14.0,-11.0,-8.0,-25.0,-18.0,-29.0,-26.0,-15.0,-20.0,-11,-19.0,-15.0,-13,-15.0,-14.0,-29.0,-11.0,-22,-27.0,-22.0,-9.0,-11.0,-19.0,-14.0,-15.0,-18.0,-13.0,-13.0,-18.0,-34.0,-7.0,-18.0,-13.0,-16.0,-18.0,-32.0,-13.0,-41.0,-22.0,-4.0,-47.0,0.0,-18.0,1.0,-9.0
-14.0,-31.0,-34.0,-29.0,-8.0,-12.0,-23.0,-13.0,-16.0,-19.0,-10.0,-19.0,-29,-14.0,-19.0,-16,-16.0,-17.0,-20.0,-19.0,-23,-23.0,-21.0,-15.0,-17.0,-14.0,-22.0,-19.0,-14.0,-7.0,-13.0,-30.0,-37.0,-14.0,-13.0,-31.0,-7.0,-18.0,-22.0,-34.0,-43.0,1.0,-16.0,-49.0,-15.0,-21.0,-6.0,-18.0
-14.0,-30.0,-22.0,-30.0,-7.0,-18.0,-27.0,-20.0,-18.0,-19.0,-12.0,-4.0,-30,-10.0,-15.0,-5,-17.0,-8.0,-25.0,-13.0,-19,-26.0,-24.0,-18.0,-20.0,-17.0,-26.0,-21.0,-13.0,-21.0,-21.0,-36.0,-30.0,-16.0,-28.0,-24.0,-20.0,-15.0,-27.0,-31.0,-43.0,-11.0,-23.0,-54.0,-14.0,-28.0,-17.0,-22.0
-26.0,-27.0,-30.0,-47.0,-27.0,-30.0,-31.0,-19.0,-16.0,-37.0,-25.0,-17.0,-46,-23.0,-25.0,-24,-20.0,-24.0,-35.0,-20.0,-29,-38.0,-30.0,-22.0,-22.0,-28.0,-24.0,-17.0,-17.0,-30.0,-28.0,-52.0,-30.0,-39.0,-21.0,-42.0,-32.0,-21.0,-28.0,-43.0,-51.0,-22.0,-22.0,-58.0,-16.0,-37.0,-24.0,-38.0
-35.0,-35.0,-30.0,-56.0,-48.0,-35.0,-37.0,-37.0,-16.0,-38.0,-35.0,-46.0,-46,-33.0,-28.0,-28,-18.0,-33.0,-47.0,-32.0,-36,-48.0,-33.0,-27.0,-21.0,-22.0,-48.0,-28.0,-24.0,-37.0,-32.0,-61.0,-33.0,-40.0,-28.0,-42.0,-41.0,-29.0,-41.0,-43.0,-53.0,-28.0,-29.0,-63.0,-22.0,-49.0,-36.0,-44.0
-34.0,-36.0,-39.0,-64.0,-51.0,-34.0,-49.0,-52.0,-20.0,-53.0,-35.0,-46.0,-54,-40.0,-30.0,-40,-22.0,-34.0,-58.0,-36.0,-31,-47.0,-52.0,-30.0,-24.0,-35.0,-43.0,-44.0,-30.0,-40.0,-39.0,-64.0,-32.0,-48.0,-27.0,-48.0,-39.0,-39.0,-39.0,-42.0,-58.0,-34.0,-25.0,-63.0,-23.0,-49.0,-33.0,-44.0
-44.0,-54.0,-48.0,-70.0,-54.0,-36.0,-53.0,-53.0,-38.0,-49.0,-42.0,-50.0,-70,-46.0,-44.0,-55,-32.0,-40.0,-49.0,-48.0,-43,-57.0,-57.0,-36.0,-23.0,-33.0,-42.0,-53.0,-38.0,-54.0,-54.0,-69.0,-47.0,-54.0,-45.0,-48.0,-54.0,-55.0,-45.0,-49.0,-72.0,-60.0,-38.0,-62.0,-20.0,-54.0,-36.0,-55.0
-78.0,-71.0,-75.0,-81.0,-73.0,-68.0,-75.0,-100.0,-58.0,-100.0,-61.0,-56.0,-71,-64.0,-46.0,-76,-40.0,-61.0,-71.0,-58.0,-61,-82.0,-75.0,-46.0,-43.0,-76.0,-66.0,-66.0,-53.0,-70.0,-63.0,-77.0,-53.0,-85.0,-66.0,-63.0,-61.0,-68.0,-59.0,-62.0,-80.0,-65.0,-54.0,-83.0,-48.0,-76.0,-53.0,-76.0
-93.0,-99.0,-100.0,-100.0,-96.0,-97.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-87,-92.0,-88.0,-95,-55.0,-100.0,-100.0,-88.0,-89,-100.0,-100.0,-78.0,-71.0,-100.0,-94.0,-92.0,-72.0,-92.0,-100.0,-100.0,-85.0,-100.0,-86.0,-100.0,-100.0,-97.0,-83.0,-100.0,-100.0,-88.0,-76.0,-100.0,-75.0,-100.0,-98.0,-100.0
-96.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100,-97.0,-100.0,-100,-75.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-97.0,-99.0,-79.0,-97.0,-100.0,-100.0,-90.0,-100.0,-99.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-94.0,-90.0,-100.0,-84.0,-100.0,-99.0,-100.0
