date,state,fips,cases,deaths,datetime,rate
2020-02-10,California,6,7,0,2020-02-10,0.17716036883067804
2020-02-10,Illinois,17,2,0,2020-02-10,0.15783051228390932
2020-02-10,Massachusetts,25,1,0,2020-02-10,0.14389518214468
2020-02-10,Washington,53,1,0,2020-02-10,0.13132160885254723
2020-02-10,Wisconsin,55,1,0,2020-02-10,0.1717494779674617
2020-02-11,Wisconsin,55,1,0,2020-02-11,0.1717494779674617
2020-02-11,Washington,53,1,0,2020-02-11,0.13132160885254723
2020-02-11,Massachusetts,25,1,0,2020-02-11,0.14389518214468
2020-02-11,California,6,7,0,2020-02-11,0.17716036883067804
2020-02-11,Arizona,4,1,0,2020-02-11,0.1373868499077516
2020-02-11,Illinois,17,2,0,2020-02-11,0.15783051228390932
2020-02-12,Arizona,4,1,0,2020-02-12,0.1373868499077516
2020-02-12,California,6,7,0,2020-02-12,0.17716036883067804
2020-02-12,Illinois,17,2,0,2020-02-12,0.15783051228390932
2020-02-12,Massachusetts,25,1,0,2020-02-12,0.14389518214468
2020-02-12,Texas,48,1,0,2020-02-12,0.03448765705722134
2020-02-12,Washington,53,1,0,2020-02-12,0.13132160885254723
2020-02-12,Wisconsin,55,1,0,2020-02-12,0.1717494779674617
2020-02-13,Texas,48,2,0,2020-02-13,0.06897531411444267
2020-02-13,Washington,53,1,0,2020-02-13,0.13132160885254723
2020-02-13,Massachusetts,25,1,0,2020-02-13,0.14389518214468
2020-02-13,Wisconsin,55,1,0,2020-02-13,0.1717494779674617
2020-02-13,California,6,7,0,2020-02-13,0.17716036883067804
2020-02-13,Arizona,4,1,0,2020-02-13,0.1373868499077516
2020-02-13,Illinois,17,2,0,2020-02-13,0.15783051228390932
2020-02-14,Arizona,4,1,0,2020-02-14,0.1373868499077516
2020-02-14,California,6,7,0,2020-02-14,0.17716036883067804
2020-02-14,Illinois,17,2,0,2020-02-14,0.15783051228390932
2020-02-14,Massachusetts,25,1,0,2020-02-14,0.14389518214468
2020-02-14,Texas,48,2,0,2020-02-14,0.06897531411444267
2020-02-14,Washington,53,1,0,2020-02-14,0.13132160885254723
2020-02-14,Wisconsin,55,1,0,2020-02-14,0.1717494779674617
2020-02-15,Wisconsin,55,1,0,2020-02-15,0.1717494779674617
2020-02-15,Washington,53,1,0,2020-02-15,0.13132160885254723
2020-02-15,Texas,48,2,0,2020-02-15,0.06897531411444267
2020-02-15,Massachusetts,25,1,0,2020-02-15,0.14389518214468
2020-02-15,Illinois,17,2,0,2020-02-15,0.15783051228390932
2020-02-15,California,6,7,0,2020-02-15,0.17716036883067804
2020-02-15,Arizona,4,1,0,2020-02-15,0.1373868499077516
2020-02-16,Arizona,4,1,0,2020-02-16,0.1373868499077516
2020-02-16,California,6,7,0,2020-02-16,0.17716036883067804
2020-02-16,Illinois,17,2,0,2020-02-16,0.15783051228390932
2020-02-16,Massachusetts,25,1,0,2020-02-16,0.14389518214468
2020-02-16,Texas,48,2,0,2020-02-16,0.06897531411444267
2020-02-16,Washington,53,1,0,2020-02-16,0.13132160885254723
2020-02-16,Wisconsin,55,1,0,2020-02-16,0.1717494779674617
2020-02-17,Wisconsin,55,1,0,2020-02-17,0.1717494779674617
2020-02-17,Washington,53,1,0,2020-02-17,0.13132160885254723
2020-02-17,Texas,48,2,0,2020-02-17,0.06897531411444267
2020-02-17,Nebraska,31,10,0,2020-02-17,5.169540241769059
2020-02-17,California,6,7,0,2020-02-17,0.17716036883067804
2020-02-17,Illinois,17,2,0,2020-02-17,0.15783051228390932
2020-02-17,Massachusetts,25,1,0,2020-02-17,0.14389518214468
2020-02-17,Arizona,4,1,0,2020-02-17,0.1373868499077516
2020-02-18,Washington,53,1,0,2020-02-18,0.13132160885254723
2020-02-18,Texas,48,2,0,2020-02-18,0.06897531411444267
2020-02-18,Nebraska,31,10,0,2020-02-18,5.169540241769059
2020-02-18,Wisconsin,55,1,0,2020-02-18,0.1717494779674617
2020-02-18,Illinois,17,2,0,2020-02-18,0.15783051228390932
2020-02-18,California,6,7,0,2020-02-18,0.17716036883067804
2020-02-18,Arizona,4,1,0,2020-02-18,0.1373868499077516
2020-02-18,Massachusetts,25,1,0,2020-02-18,0.14389518214468
2020-02-19,Arizona,4,1,0,2020-02-19,0.1373868499077516
2020-02-19,California,6,7,0,2020-02-19,0.17716036883067804
2020-02-19,Illinois,17,2,0,2020-02-19,0.15783051228390932
2020-02-19,Massachusetts,25,1,0,2020-02-19,0.14389518214468
2020-02-19,Nebraska,31,10,0,2020-02-19,5.169540241769059
2020-02-19,Texas,48,2,0,2020-02-19,0.06897531411444267
2020-02-19,Washington,53,1,0,2020-02-19,0.13132160885254723
2020-02-19,Wisconsin,55,1,0,2020-02-19,0.1717494779674617
2020-02-20,Texas,48,2,0,2020-02-20,0.06897531411444267
2020-02-20,Wisconsin,55,1,0,2020-02-20,0.1717494779674617
2020-02-20,Nebraska,31,11,0,2020-02-20,5.6864942659459645
2020-02-20,Washington,53,1,0,2020-02-20,0.13132160885254723
2020-02-20,Illinois,17,2,0,2020-02-20,0.15783051228390932
2020-02-20,California,6,8,0,2020-02-20,0.20246899294934634
2020-02-20,Arizona,4,1,0,2020-02-20,0.1373868499077516
2020-02-20,Massachusetts,25,1,0,2020-02-20,0.14389518214468
2020-02-21,Arizona,4,1,0,2020-02-21,0.1373868499077516
2020-02-21,California,6,9,0,2020-02-21,0.22777761706801464
2020-02-21,Illinois,17,2,0,2020-02-21,0.15783051228390932
2020-02-21,Massachusetts,25,1,0,2020-02-21,0.14389518214468
2020-02-21,Nebraska,31,11,0,2020-02-21,5.6864942659459645
2020-02-21,Texas,48,4,0,2020-02-21,0.13795062822888535
2020-02-21,Washington,53,1,0,2020-02-21,0.13132160885254723
2020-02-21,Wisconsin,55,1,0,2020-02-21,0.1717494779674617
2020-02-22,Wisconsin,55,1,0,2020-02-22,0.1717494779674617
2020-02-22,Washington,53,1,0,2020-02-22,0.13132160885254723
2020-02-22,Texas,48,4,0,2020-02-22,0.13795062822888535
2020-02-22,Nebraska,31,11,0,2020-02-22,5.6864942659459645
2020-02-22,Massachusetts,25,1,0,2020-02-22,0.14389518214468
